Latitude: 40.70309, Longitude: -73.89963

Latitude: 40.77868, Longitude: -73.90652

Latitude: 40.71567, Longitude: -73.87842

Latitude: 40.70422, Longitude: -73.89778

Latitude: 40.71778, Longitude: -73.87714

Latitude: 40.67144, Longitude: -73.76501

Latitude: 40.74757, Longitude: -73.94571

Latitude: 40.772472, Longitude: -73.906075

Latitude: 40.58603, Longitude: -73.8145

Latitude: 40.70271, Longitude: -73.8993

Latitude: 40.7106, Longitude: -73.85246

Latitude: 40.76336, Longitude: -73.92099

Latitude: 40.74523, Longitude: -73.92318

Latitude: 40.75684, Longitude: -73.91286

Latitude: 40.77507, Longitude: -73.93367

Latitude: 40.7012, Longitude: -73.83151

Latitude: 40.77728, Longitude: -73.91278

Latitude: 40.73849, Longitude: -73.87232

Latitude: 40.73877, Longitude: -73.92557

Latitude: 40.73333, Longitude: -73.85933

Latitude: 40.70167, Longitude: -73.90927

Latitude: 40.75537, Longitude: -73.77159

Latitude: 40.76716, Longitude: -73.91177

Latitude: 40.74536, Longitude: -73.94903

Latitude: 40.74496, Longitude: -73.91167

Latitude: 40.70749, Longitude: -73.916

Latitude: 40.67144, Longitude: -73.76501

Latitude: 40.77128, Longitude: -73.91939

Latitude: 40.74499, Longitude: -73.95372

Latitude: 40.70148, Longitude: -73.82972

Latitude: 40.77539, Longitude: -73.91709

Latitude: 40.71215, Longitude: -73.81692

Latitude: 40.71044, Longitude: -73.81703

Latitude: 40.72678, Longitude: -73.90448

Latitude: 40.75434, Longitude: -73.9354

Latitude: 40.74709, Longitude: -73.92056

Latitude: 40.7464, Longitude: -73.94807

Latitude: 40.76763, Longitude: -73.77003

Latitude: 40.75347, Longitude: -73.89145

Latitude: 40.699, Longitude: -73.90295

Latitude: 40.75243, Longitude: -73.87843

Latitude: 40.74944, Longitude: -73.89292

Latitude: 40.77266, Longitude: -73.92268

