Latitude: 40.64633, Longitude: -74.08156

Latitude: 40.591675, Longitude: -74.065865

Latitude: 40.60742, Longitude: -74.14388

Latitude: 40.61019, Longitude: -74.06757

Latitude: 40.59274, Longitude: -74.16178

Latitude: 40.50863, Longitude: -74.24135

Latitude: 40.62915, Longitude: -74.16214

Latitude: 40.60066, Longitude: -74.08902

Latitude: 40.60035, Longitude: -74.09103

Latitude: 40.61033, Longitude: -74.06544

Latitude: 40.64743, Longitude: -74.08419

Latitude: 40.64734, Longitude: -74.08414

Latitude: 40.62578, Longitude: -74.07356

Latitude: 40.64367, Longitude: -74.0794

Latitude: 40.54153, Longitude: -74.16442

Latitude: 40.64489, Longitude: -74.07789

Latitude: 40.57716, Longitude: -74.14087

Latitude: 40.63603, Longitude: -74.0951

Latitude: 40.62914, Longitude: -74.15927

Latitude: 40.64390612272814, Longitude: -74.08280754285174

Latitude: 40.63451, Longitude: -74.11527

Latitude: 40.64499446984693, Longitude: -74.08091924711673

Latitude: 40.58151, Longitude: -74.08876

Latitude: 40.61363, Longitude: -74.12152

Latitude: 40.54615, Longitude: -74.14654

Latitude: 40.62287, Longitude: -74.09968

Latitude: 40.62872, Longitude: -74.12154

Latitude: 40.60494, Longitude: -74.07337

Latitude: 40.64816, Longitude: -74.08445

Latitude: 40.61223, Longitude: -74.09318

Latitude: 40.63073, Longitude: -74.08588

Latitude: 40.61066, Longitude: -74.12276

Latitude: 40.64365, Longitude: -74.09113

Latitude: 40.62389, Longitude: -74.07568

Latitude: 40.6298, Longitude: -74.08527

Latitude: 40.62534, Longitude: -74.07705

Latitude: 40.57095, Longitude: -74.12328

Latitude: 40.61639, Longitude: -74.07661

Latitude: 40.62672, Longitude: -74.07564

Latitude: 40.63018, Longitude: -74.17485

Latitude: 40.59273, Longitude: -74.08831

Latitude: 40.64371, Longitude: -74.07887

Latitude: 40.64077, Longitude: -74.07815

Latitude: 40.57087, Longitude: -74.09641

Latitude: 40.64196, Longitude: -74.07806

Latitude: 40.56052, Longitude: -74.1289

Latitude: 40.5425, Longitude: -74.14809

Latitude: 40.61883, Longitude: -74.12949

Latitude: 40.59434, Longitude: -74.0709

Latitude: 40.63304, Longitude: -74.11275

Latitude: 40.63189, Longitude: -74.11308

Latitude: 40.55621, Longitude: -74.15805

Latitude: 40.62814, Longitude: -74.08666

Latitude: 40.59322, Longitude: -74.06857

Latitude: 40.6456, Longitude: -74.08069

Latitude: 40.59322, Longitude: -74.06857

Latitude: 40.53894, Longitude: -74.16983

Latitude: 40.63398, Longitude: -74.07871

Latitude: 40.63031, Longitude: -74.08091

Latitude: 40.61784, Longitude: -74.0804

Latitude: 40.62775, Longitude: -74.08408

Latitude: 40.6067, Longitude: -74.11728

Latitude: 40.62534, Longitude: -74.10841

Latitude: 40.56071, Longitude: -74.14591

Latitude: 40.59324, Longitude: -74.0608

Latitude: 40.64134, Longitude: -74.07942

Latitude: 40.64727, Longitude: -74.08402

Latitude: 40.6438, Longitude: -74.08443

Latitude: 40.64378, Longitude: -74.0846

Latitude: 40.62988, Longitude: -74.08115

Latitude: 40.6156472947196, Longitude: -74.06853399247224

Latitude: 40.63435, Longitude: -74.11374

Latitude: 40.59273, Longitude: -74.07552

Latitude: 40.63575, Longitude: -74.08098

Latitude: 40.60827, Longitude: -74.07139

Latitude: 40.57955, Longitude: -74.11109

Latitude: 40.56853, Longitude: -74.11843

