Latitude: 40.80635, Longitude: -73.92201

Latitude: 40.81161, Longitude: -73.85499

Latitude: 40.881, Longitude: -73.83511

Latitude: 40.87069, Longitude: -73.90113

Latitude: 40.8666, Longitude: -73.90061

Latitude: 40.86502, Longitude: -73.85496

Latitude: 40.85981, Longitude: -73.9063

Latitude: 40.88095, Longitude: -73.91701

Latitude: 40.81081, Longitude: -73.9237

Latitude: 40.81627, Longitude: -73.90128

Latitude: 40.8666, Longitude: -73.85532

Latitude: 40.82301, Longitude: -73.91396

Latitude: 40.8524, Longitude: -73.78768

Latitude: 40.82102, Longitude: -73.92702

Latitude: 40.80858, Longitude: -73.92983

Latitude: 40.80065, Longitude: -73.91337

Latitude: 40.81341, Longitude: -73.90544

Latitude: 40.80056, Longitude: -73.91306

Latitude: 40.8827, Longitude: -73.86281

Latitude: 40.81975, Longitude: -73.87568

Latitude: 40.83645, Longitude: -73.86634

Latitude: 40.85343, Longitude: -73.78811

Latitude: 40.80848, Longitude: -73.92792

Latitude: 40.85593, Longitude: -73.86528

Latitude: 40.82414, Longitude: -73.8596

Latitude: 40.88489, Longitude: -73.91597

Latitude: 40.86647, Longitude: -73.88529

Latitude: 40.87726, Longitude: -73.88174

Latitude: 40.80656, Longitude: -73.928

Latitude: 40.84217, Longitude: -73.91198

Latitude: 40.85568, Longitude: -73.9137

Latitude: 40.83178, Longitude: -73.91817

Latitude: 40.80233, Longitude: -73.91473

Latitude: 40.81611, Longitude: -73.92491

Latitude: 40.88103, Longitude: -73.8486

Latitude: 40.89711, Longitude: -73.89993

Latitude: 40.85229, Longitude: -73.90771

Latitude: 40.81182, Longitude: -73.90371

Latitude: 40.8507, Longitude: -73.90823

Latitude: 40.81876, Longitude: -73.92691

Latitude: 40.88805, Longitude: -73.85311

Latitude: 40.84826, Longitude: -73.91062

Latitude: 40.80866, Longitude: -73.92069

Latitude: 40.81167, Longitude: -73.85387

Latitude: 40.81204, Longitude: -73.85526

Latitude: 40.80948, Longitude: -73.9243

Latitude: 40.89034, Longitude: -73.90325

Latitude: 40.87647, Longitude: -73.87626

Latitude: 40.85688, Longitude: -73.9154

Latitude: 40.83264, Longitude: -73.91681

Latitude: 40.86639, Longitude: -73.90151

Latitude: 40.82914, Longitude: -73.85473

Latitude: 40.83401, Longitude: -73.9168

Latitude: 40.8838, Longitude: -73.89513

Latitude: 40.8782, Longitude: -73.89468

Latitude: 40.87954, Longitude: -73.85003

Latitude: 40.81215, Longitude: -73.85503

Latitude: 40.83559, Longitude: -73.92011

Latitude: 40.84972, Longitude: -73.90408

Latitude: 40.87893, Longitude: -73.83413

Latitude: 40.881, Longitude: -73.83511

Latitude: 40.85456, Longitude: -73.85709

Latitude: 40.88054, Longitude: -73.84811

Latitude: 40.83928, Longitude: -73.88631

Latitude: 40.84041, Longitude: -73.88835

Latitude: 40.85477, Longitude: -73.91597

Latitude: 40.80899, Longitude: -73.91489

Latitude: 40.88096, Longitude: -73.84998

Latitude: 40.87969, Longitude: -73.85015

Latitude: 40.81241, Longitude: -73.85639

Latitude: 40.8791, Longitude: -73.86345

Latitude: 40.81831, Longitude: -73.90816

Latitude: 40.84102, Longitude: -73.88694

Latitude: 40.88039, Longitude: -73.84798

Latitude: 40.81943, Longitude: -73.92911

Latitude: 40.84815, Longitude: -73.90448

Latitude: 40.84625, Longitude: -73.90436

Latitude: 40.82648, Longitude: -73.91541

Latitude: 40.8816, Longitude: -73.83533

Latitude: 40.82707, Longitude: -73.90583

Latitude: 40.81816, Longitude: -73.90464

Latitude: 40.87083, Longitude: -73.88706

Latitude: 40.88232, Longitude: -73.90621

Latitude: 40.81149, Longitude: -73.92376

Latitude: 40.85371, Longitude: -73.88757

Latitude: 40.82381, Longitude: -73.92725

Latitude: 40.81245, Longitude: -73.88756

Latitude: 40.81465, Longitude: -73.88872

Latitude: 40.82576, Longitude: -73.90124

Latitude: 40.81398, Longitude: -73.88751

Latitude: 40.81288, Longitude: -73.88736

Latitude: 40.85187, Longitude: -73.78914

Latitude: 40.8534, Longitude: -73.82815

Latitude: 40.88635, Longitude: -73.90974

Latitude: 40.87303, Longitude: -73.88001

Latitude: 40.81767, Longitude: -73.86303

Latitude: 40.82424, Longitude: -73.91316

Latitude: 40.86677, Longitude: -73.89578

Latitude: 40.82247, Longitude: -73.8876

Latitude: 40.80857, Longitude: -73.85073

Latitude: 40.84637, Longitude: -73.78857

Latitude: 40.81977, Longitude: -73.92752

Latitude: 40.88422, Longitude: -73.90886

Latitude: 40.81088, Longitude: -73.90733

Latitude: 40.81965, Longitude: -73.92911

Latitude: 40.85246, Longitude: -73.91615

Latitude: 40.83227, Longitude: -73.91983

Latitude: 40.86677, Longitude: -73.84056

Latitude: 40.87443, Longitude: -73.85909

Latitude: 40.88299, Longitude: -73.9086

Latitude: 40.82319, Longitude: -73.90341

Latitude: 40.87185, Longitude: -73.84109

Latitude: 40.88451, Longitude: -73.89817

Latitude: 40.85306, Longitude: -73.86644

Latitude: 40.89858, Longitude: -73.85896

Latitude: 40.88045, Longitude: -73.91825

Latitude: 40.81814, Longitude: -73.92817

Latitude: 40.87777, Longitude: -73.90013

Latitude: 40.83836, Longitude: -73.85775

Latitude: 40.86768, Longitude: -73.8605

Latitude: 40.83825, Longitude: -73.85661

Latitude: 40.81361, Longitude: -73.90398

Latitude: 40.84768, Longitude: -73.90531

Latitude: 40.86046, Longitude: -73.88378

Latitude: 40.85575, Longitude: -73.90006

Latitude: 40.88472, Longitude: -73.86267

Latitude: 40.83013, Longitude: -73.81743

Latitude: 40.81896, Longitude: -73.92782

Latitude: 40.83106, Longitude: -73.92168

Latitude: 40.82745, Longitude: -73.89756

Latitude: 40.82287, Longitude: -73.9026

Latitude: 40.86209, Longitude: -73.91202

Latitude: 40.85972, Longitude: -73.89461

Latitude: 40.89535, Longitude: -73.85623

Latitude: 40.88312, Longitude: -73.90437

Latitude: 40.88391, Longitude: -73.89789

Latitude: 40.87843, Longitude: -73.90466

Latitude: 40.84349, Longitude: -73.90987

Latitude: 40.85176, Longitude: -73.83242

Latitude: 40.83393, Longitude: -73.92499

Latitude: 40.89169, Longitude: -73.90946

Latitude: 40.87251, Longitude: -73.87727

Latitude: 40.88177, Longitude: -73.83444

Latitude: 40.81281, Longitude: -73.90779

Latitude: 40.88284, Longitude: -73.89262

Latitude: 40.85526, Longitude: -73.86549

Latitude: 40.85627, Longitude: -73.86304

Latitude: 40.85172, Longitude: -73.86706

Latitude: 40.86473, Longitude: -73.84078

Latitude: 40.88169, Longitude: -73.90691

Latitude: 40.85669, Longitude: -73.86511

Latitude: 40.88516, Longitude: -73.90487

Latitude: 40.8632, Longitude: -73.90496

Latitude: 40.88376, Longitude: -73.90436

Latitude: 40.83907, Longitude: -73.86678

Latitude: 40.89338, Longitude: -73.89789

Latitude: 40.83029, Longitude: -73.83405

Latitude: 40.87631, Longitude: -73.87515

Latitude: 40.81125, Longitude: -73.92553

Latitude: 40.84563, Longitude: -73.82832

Latitude: 40.84913, Longitude: -73.85591

Latitude: 40.8559, Longitude: -73.90086

Latitude: 40.86651, Longitude: -73.84209

Latitude: 40.83288, Longitude: -73.92006

Latitude: 40.82935, Longitude: -73.92757

Latitude: 40.8991, Longitude: -73.85707

Latitude: 40.87725, Longitude: -73.89922

Latitude: 40.86463, Longitude: -73.84064

Latitude: 40.86613, Longitude: -73.84805

Latitude: 40.86762, Longitude: -73.85688

Latitude: 40.84685, Longitude: -73.89016

Latitude: 40.88558, Longitude: -73.8359

Latitude: 40.88677, Longitude: -73.83411

Latitude: 40.81992, Longitude: -73.92809

Latitude: 40.84902, Longitude: -73.89993

Latitude: 40.83228, Longitude: -73.834

Latitude: 40.85699, Longitude: -73.91456

Latitude: 40.83063, Longitude: -73.87712

Latitude: 40.81351, Longitude: -73.89891

Latitude: 40.82931, Longitude: -73.87684

Latitude: 40.82944, Longitude: -73.87555

Latitude: 40.83109, Longitude: -73.87529

Latitude: 40.83244, Longitude: -73.83363

Latitude: 40.873, Longitude: -73.84305

Latitude: 40.91139, Longitude: -73.9038

Latitude: 40.86852, Longitude: -73.90666

Latitude: 40.87233, Longitude: -73.86335

Latitude: 40.83026, Longitude: -73.8238

Latitude: 40.8874, Longitude: -73.86499

Latitude: 40.81796, Longitude: -73.91121

Latitude: 40.80614, Longitude: -73.85369

Latitude: 40.812318079796704, Longitude: -73.90751051755876

Latitude: 40.90124, Longitude: -73.85195

Latitude: 40.87063, Longitude: -73.8983

Latitude: 40.81733, Longitude: -73.88831

Latitude: 40.84345, Longitude: -73.91231

Latitude: 40.82429, Longitude: -73.9271

Latitude: 40.82271, Longitude: -73.90299

Latitude: 40.85944, Longitude: -73.86321

Latitude: 40.81256, Longitude: -73.88901

Latitude: 40.82213, Longitude: -73.92754

Latitude: 40.8773, Longitude: -73.85019

Latitude: 40.81226, Longitude: -73.92573

Latitude: 40.86723, Longitude: -73.89035

Latitude: 40.85229, Longitude: -73.86092

Latitude: 40.84706, Longitude: -73.90526

Latitude: 40.85196, Longitude: -73.92168

Latitude: 40.82018, Longitude: -73.90302

Latitude: 40.83793, Longitude: -73.78328

Latitude: 40.83815, Longitude: -73.85849

Latitude: 40.8509, Longitude: -73.86054

Latitude: 40.80991, Longitude: -73.91957

Latitude: 40.8546, Longitude: -73.86643

Latitude: 40.85646, Longitude: -73.86578

Latitude: 40.89111, Longitude: -73.83412

Latitude: 40.88275, Longitude: -73.88277

Latitude: 40.83603, Longitude: -73.91152

Latitude: 40.82123, Longitude: -73.92862

Latitude: 40.87842, Longitude: -73.8593

Latitude: 40.82673, Longitude: -73.85444

Latitude: 40.89661, Longitude: -73.85693

Latitude: 40.83678, Longitude: -73.8452

Latitude: 40.89748, Longitude: -73.85497

Latitude: 40.86162, Longitude: -73.86418

Latitude: 40.8159, Longitude: -73.86486

Latitude: 40.87553, Longitude: -73.88601

Latitude: 40.8362, Longitude: -73.9117

Latitude: 40.83451, Longitude: -73.91881

Latitude: 40.90194, Longitude: -73.84236

Latitude: 40.86441, Longitude: -73.84284

Latitude: 40.80756, Longitude: -73.92264

Latitude: 40.82504, Longitude: -73.92749

Latitude: 40.85271, Longitude: -73.8676

Latitude: 40.83295, Longitude: -73.85926

Latitude: 40.82502, Longitude: -73.86046

Latitude: 40.81701, Longitude: -73.86159

Latitude: 40.87808, Longitude: -73.90334

Latitude: 40.82957, Longitude: -73.90353

Latitude: 40.81079, Longitude: -73.92121

Latitude: 40.83129, Longitude: -73.92021

Latitude: 40.82921, Longitude: -73.88027

Latitude: 40.81167, Longitude: -73.9248

Latitude: 40.88495, Longitude: -73.90884

Latitude: 40.84581, Longitude: -73.84008

Latitude: 40.87305, Longitude: -73.8999

Latitude: 40.82716, Longitude: -73.88204

Latitude: 40.80229, Longitude: -73.91363

Latitude: 40.80945, Longitude: -73.92007

Latitude: 40.82339, Longitude: -73.91425

Latitude: 40.87469, Longitude: -73.90169

Latitude: 40.8429, Longitude: -73.8638

Latitude: 40.88388, Longitude: -73.89951

Latitude: 40.80886, Longitude: -73.9285

Latitude: 40.86006, Longitude: -73.83662

Latitude: 40.8316, Longitude: -73.91538

Latitude: 40.82221, Longitude: -73.90325

Latitude: 40.8787, Longitude: -73.87111

Latitude: 40.85722, Longitude: -73.83734

Latitude: 40.82185, Longitude: -73.92841

Latitude: 40.88105, Longitude: -73.86026

Latitude: 40.87901, Longitude: -73.86221

Latitude: 40.89866, Longitude: -73.8627

Latitude: 40.82871, Longitude: -73.8873

Latitude: 40.85071, Longitude: -73.90241

Latitude: 40.85534, Longitude: -73.89733

Latitude: 40.86384, Longitude: -73.86364

Latitude: 40.87469, Longitude: -73.88456

Latitude: 40.8524, Longitude: -73.83435

Latitude: 40.83029606181912, Longitude: -73.91861729316344

Latitude: 40.85604, Longitude: -73.90403

Latitude: 40.87157, Longitude: -73.86017

Latitude: 40.82299, Longitude: -73.92656

Latitude: 40.84518, Longitude: -73.84677

Latitude: 40.88093, Longitude: -73.86187

Latitude: 40.869, Longitude: -73.89349

Latitude: 40.87858, Longitude: -73.87154

Latitude: 40.9002, Longitude: -73.86447

Latitude: 40.88236, Longitude: -73.91129

Latitude: 40.82274, Longitude: -73.91353

Latitude: 40.81015, Longitude: -73.92025

Latitude: 40.83273, Longitude: -73.922

Latitude: 40.8667, Longitude: -73.84154

Latitude: 40.82054, Longitude: -73.92798

