,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
3,45935,Room in Beautiful Townhouse.,204586,L,Bronx,Mott Haven,40.80635,-73.92201,Private room,60,30,0,,,1,83,0,,
120,63588,LL3,295128,Carol Gloria,Bronx,Clason Point,40.81161,-73.85499,Private room,89,30,0,,,6,15,0,,
126,63610,DOMINIQUE'S mini guest suite Efficiency pad* Metro,310670,Vie,Bronx,Eastchester,40.881,-73.83511,Entire home/apt,99,2,53,2022-08-27,0.46,6,360,6,,
224,71812,Condo Apartment with Laundry and Assigned Parking,369015,Thai,Bronx,Kingsbridge,40.87069,-73.90113,Entire home/apt,90,30,15,2022-07-22,0.3,2,249,5,,
255,245544,NY/ Big Room for 2 near Manhattan,1260921,Victor,Bronx,Kingsbridge,40.8666,-73.90061,Private room,49,3,114,2022-04-20,0.97,2,257,2,,
265,182177,A PRIVATE FLAT / APARTMENT- $SPECIAL$,873273,Christian & Carla,Bronx,Allerton,40.86502,-73.85496,Entire home/apt,173,2,328,2022-08-20,2.45,2,320,16,,
267,169306,Affordable & Cozy,806214,Vanessa,Bronx,University Heights,40.85981,-73.9063,Private room,40,7,157,2022-08-12,1.16,1,257,15,,
482,385824,New York City- Riverdale Modern two bedrooms unit,1931205,Orit,Bronx,Spuyten Duyvil,40.88095,-73.91701,Entire home/apt,136,2,113,2022-09-02,1.47,1,326,30,,
610,444430,comfy room minutes from museums,420542,Danielle,Bronx,Mott Haven,40.81081,-73.9237,Private room,52,30,23,2018-03-27,0.19,1,0,0,,
622,449680,Artfully Decorated 2 Bedroom Apt,1812871,Karen,Bronx,Longwood,40.81627,-73.90128,Entire home/apt,93,30,95,2020-11-30,0.77,1,64,0,,
864,759901,GREAT PRICE for GREAT GUESTS ONLY,873273,Christian & Carla,Bronx,Allerton,40.8666,-73.85532,Private room,85,21,43,2022-07-24,0.36,2,350,1,,
963,785097,Beautiful New Apartment/ spacious,4137840,Angie,Bronx,Melrose,40.82301,-73.91396,Private room,65,4,10,2015-10-10,0.08,1,0,0,,
1067,958444,Great 1BD Apt- water front City Island Bronx NY,5214644,Noelva,Bronx,City Island,40.8524,-73.78768,Entire home/apt,117,30,109,2022-07-06,0.97,2,0,6,,
1219,1026683,Mi Casa Tu Casa Guesthouse Mexico,5652395,Julio,Bronx,Concourse,40.82102,-73.92702,Private room,85,1,19,2022-06-12,0.19,2,241,5,,
1220,1187643,PRIVATE ROOM IN NYC ARTIST STUDIO,6494389,Daniel,Bronx,Port Morris,40.80858,-73.92983,Private room,75,6,96,2022-08-04,0.86,1,285,12,,
1247,1205815,"Entire Townhouse w/Backyard: 2 Doubles, 2 Floors.",6586128,Martine,Bronx,Port Morris,40.80065,-73.91337,Entire home/apt,145,30,2,2015-08-07,0.02,3,89,0,,
1361,1278784,Private room minutes from midtown!,6959061,Roque,Bronx,Longwood,40.81341,-73.90544,Private room,70,3,170,2022-05-01,1.53,1,218,11,,
1431,1490223,Full Floor with Private Backyard in Townhouse,6586128,Martine,Bronx,Port Morris,40.80056,-73.91306,Entire home/apt,91,30,24,2022-07-31,0.22,3,62,1,,
1474,1693028,Private Room with adjoining bathroom,8918030,Theodore,Bronx,Williamsbridge,40.8827,-73.86281,Private room,54,1,23,2019-12-08,0.38,1,0,0,,
