,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
0,77765,Superior @ Box House,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,Hotel room,308,2,42,2022-07-18,0.3,30,217,4,,11222
1,2539,Clean & quiet apt home by the park,2787,John,Brooklyn,Kensington,40.64529,-73.97238,Private room,299,30,9,2018-10-19,0.11,9,356,0,,11218
6,46911,Large Room in private Brownstone in Park Slope,210746,Kathleen R.,Brooklyn,Prospect Heights,40.68022,-73.97457,Private room,123,3,65,2022-08-21,0.45,3,319,9,,11217
7,49048,B and B Style Rooms for Rent w bath,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.6829,-73.95701,Private room,90,30,23,2022-04-30,0.17,5,249,2,,11238
9,5121,BlissArtsSpace!,7356,Garon,Brooklyn,Bedford-Stuyvesant,40.68535,-73.95512,Private room,60,30,50,2019-12-02,0.31,2,335,0,,11216
10,5136,"Spacious Brooklyn Duplex, Patio + Garden",7378,Rebecca,Brooklyn,Sunset Park,40.66265,-73.99454,Entire home/apt,275,21,3,2022-08-10,0.03,1,179,1,,11232
11,80684,Duplex w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73756,-73.9535,Hotel room,529,2,10,2021-11-13,0.08,30,100,2,,11222
12,80700,Loft w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,Private room,372,2,9,2022-09-05,0.07,30,222,2,,11222
13,80924,Spacious 3 Bedroom Duplex in Park Slope,438133,Ellis,Brooklyn,Park Slope,40.67407,-73.98105,Entire home/apt,160,30,37,2020-02-18,0.35,2,37,0,,11215
14,81739,Loft w/ Terrace @ Box House Hotel,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,Private room,372,2,2,2011-05-12,0.01,30,222,0,,11222
17,82928,BEAUTIFUL 2 BEDROOM APARTMENT,451545,Ruthven,Brooklyn,Bedford-Stuyvesant,40.68433,-73.94469,Entire home/apt,150,30,76,2022-06-01,0.93,1,127,3,,11216
19,5803,"Lovely Room 1 in BEST AREA; Legal Rental, Spotless",9744,Laurie,Brooklyn,South Slope,40.66801,-73.98784,Private room,118,4,216,2022-08-23,1.33,3,299,22,,11215
20,6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,84,30,185,2022-07-07,1.14,1,274,4,,11211
21,50447,Lovely Apt & Garden; BEST AREA; Legal; Spotless,9744,Laurie,Brooklyn,Gowanus,40.66913,-73.99041,Entire home/apt,158,5,223,2022-08-19,1.55,3,276,30,,11215
22,83243,Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!,453519,Julian,Brooklyn,Bushwick,40.68769,-73.91788,Entire home/apt,77,30,253,2022-07-18,1.82,1,311,3,,11221
24,84010,Superior @ Box House,417504,The Box House Hotel,Brooklyn,Greenpoint,40.73777,-73.95366,Hotel room,308,2,22,2022-06-11,0.17,30,221,6,,11222
25,89621,wonderful sleep 4,209460,Marylyn Palmer,Brooklyn,Crown Heights,40.67823,-73.94719,Entire home/apt,138,30,240,2022-06-15,1.78,3,264,2,,11216
32,93313,MAISON DES SIRENES 2,25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68413,-73.93817,Entire home/apt,145,2,136,2022-08-15,0.99,2,300,29,,11221
33,7064,"Amazing location! Wburg. Large, bright & tranquil",17297,Joelle,Brooklyn,Williamsburg,40.71248,-73.95881,Private room,95,7,11,2022-08-16,0.07,2,24,2,,11211
34,7097,Perfect for Your Parents:  Privacy + Garden,17571,Jane,Brooklyn,Fort Greene,40.691233,-73.972702,Entire home/apt,207,2,303,2022-09-05,1.97,2,19,36,,11205
35,94209,Large Sunny 1BR (Conv 2BR) Apt in Crown Heights Bk,503800,Peace,Brooklyn,Crown Heights,40.67654,-73.94629,Entire home/apt,102,1,38,2022-08-20,2.12,1,73,27,,11216
36,7801,Sweet and Spacious Brooklyn Loft,21207,Chaya,Brooklyn,Williamsburg,40.71778,-73.9568,Entire home/apt,395,30,9,2011-12-28,0.06,1,342,0,,11211
37,8490,"Maison des Sirenes1,bohemian, luminous apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,40.68462,-73.93839,Entire home/apt,150,2,154,2022-08-06,0.97,2,297,19,,11221
39,54508,Sml Rm  Brst  PSl great for longer stays Med/Stu,210746,Kathleen R.,Brooklyn,Park Slope,40.67908,-73.97405,Private room,80,2,135,2022-08-24,0.93,3,328,27,,11217
40,94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",473113,Keishera,Brooklyn,Crown Heights,40.6736,-73.9551,Entire home/apt,140,6,137,2022-08-30,0.99,1,298,20,,11216
43,95883,Spacious Loft in Clinton Hill / Bed-Stuy,509918,Eduardo,Brooklyn,Bedford-Stuyvesant,40.69304,-73.95417,Entire home/apt,250,6,7,2022-08-04,0.07,1,0,1,,11205
46,10452,Large B&B Style rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,82,30,81,2022-08-15,0.54,5,233,5,,11238
47,10962,"Lovely Room 2 in BEST AREA; Legal Rental, Spotless",9744,Laurie,Brooklyn,South Slope,40.66692,-73.98981,Private room,118,4,208,2022-08-22,1.32,3,326,17,,11215
49,96471,"The Brooklyn Waverly, One Bedroom",116599,Sahr,Brooklyn,Clinton Hill,40.68513,-73.96648,Private room,171,30,13,2019-12-10,0.1,2,364,0,,11238
