,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
4,45936,Couldn't Be Closer To Columbia Uni,867225,Rahul,Manhattan,Morningside Heights,40.8063,-73.95985,Private room,75,31,135,2022-07-11,0.95,1,219,4,,10025
5,80493,Cozy room in East Village with AC,434987,Jennifer,Manhattan,East Village,40.72322,-73.98615,Private room,55,2,207,2022-08-13,1.49,1,132,9,,10009
8,2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,40.75356,-73.98559,Entire home/apt,175,30,49,2022-06-21,0.31,3,280,1,,10018
15,82638,"Charming Artist's Flat, East Village",449787,Sarah,Manhattan,East Village,40.72408,-73.98154,Entire home/apt,169,30,276,2022-03-08,1.99,1,344,3,,10009
16,5178,Large Furnished Room Near B'way　,8967,Shunichi,Manhattan,Midtown,40.76457,-73.98317,Private room,68,2,550,2022-08-22,3.39,1,160,56,,10019
18,5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,Manhattan,Upper West Side,40.8038,-73.96751,Private room,75,2,118,2017-07-21,0.75,1,0,0,,10025
23,51438,1 Bedroom in 2 Bdrm Apt- Upper East,236421,Jessica,Manhattan,Upper East Side,40.77449,-73.95308,Private room,130,14,0,,,2,0,0,,10028
30,6872,Uptown Sanctuary w/ Private Bath (Month to Month),16104,Kae,Manhattan,East Harlem,40.80107,-73.94255,Private room,65,30,1,2022-06-05,0.32,2,211,1,,10035
31,6990,UES Beautiful Blue Room,16800,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Private room,62,30,239,2022-08-31,1.53,1,278,5,,10029
38,54466,Beautiful Uptown Manhattan apartmnt,253385,Douglas,Manhattan,Harlem,40.80255,-73.95803,Private room,200,30,0,,,1,365,0,,10026
42,9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,175,30,58,2017-08-13,0.37,1,0,0,,10019
44,9704,Spacious 1 bedroom in luxe building,32045,Teri,Manhattan,Harlem,40.81317,-73.95465,Private room,55,30,98,2020-03-14,0.98,1,191,0,,10027
45,10183,Private Room in Upper Manhattan apartment,34866,Muriel,Manhattan,Harlem,40.81312,-73.95332,Private room,75,5,6,2019-08-31,0.04,1,42,0,,10027
48,54860,Great apartment with private bathroom and entrance,258164,Jenny,Manhattan,East Harlem,40.79934,-73.94236,Private room,115,5,267,2022-09-02,1.85,1,237,29,,10035
52,98663,Groovy NYC Chelsea Pad,520279,Peter Michael,Manhattan,Chelsea,40.75077,-73.99657,Entire home/apt,150,30,19,2018-06-11,0.14,1,280,0,,10001
53,12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,40.72296,-73.98383,Private room,80,7,282,2022-08-29,1.8,2,33,17,,10009
58,100368,Greenwich Village Brownstone -- Huge Private Deck,526105,Scott,Manhattan,Chelsea,40.74056,-74.00143,Entire home/apt,288,30,35,2021-05-31,0.26,1,303,0,,10011
60,56859,City Room - Private & Comfy Bedroom,256161,Wayne,Manhattan,Harlem,40.81201,-73.94452,Private room,74,3,239,2022-08-16,1.67,2,27,26,,10027
69,57618,"Great new apt, close to everything",274557,Ana,Manhattan,Hell's Kitchen,40.76505,-73.98716,Entire home/apt,250,3,122,2022-07-06,0.89,1,0,7,,10019
70,15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Manhattan,Hell's Kitchen,40.75611,-73.99523,Private room,92,2,382,2022-08-28,2.47,2,283,48,,10122
71,15341,"* Bright, One Bedroom in Doorman Elevator Bldg *",60049,Ted,Manhattan,Lower East Side,40.721359,-73.993668,Entire home/apt,206,30,32,2022-06-05,0.29,1,257,6,,10012
75,15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,40.74493,-73.99521,Entire home/apt,400,90,5,2018-11-03,0.06,1,114,0,,10001
76,57754,Stylish Large SPARKLING Gramercy Loft!,275578,R,Manhattan,Flatiron District,40.74166,-73.9866,Entire home/apt,330,2,170,2022-08-31,1.24,1,191,28,,10016
77,57874,The Brownstone-Luxury 1 Bd Apt/NYC,276291,Simon,Manhattan,East Harlem,40.80747,-73.94076,Entire home/apt,160,3,340,2022-08-23,2.36,2,218,55,,10035
78,58059,Private Room on Historic Sugar Hill,277379,Agnes,Manhattan,Harlem,40.8238,-73.94444,Private room,60,1,615,2022-08-21,4.44,2,235,51,,10031
81,59014,"Spacious 1BR, Adorable Clean Quiet",282927,Drica,Manhattan,Lower East Side,40.71946,-73.98641,Entire home/apt,250,30,58,2022-06-11,0.41,1,342,1,,10002
84,106363,Bright Room With A Great River View,551055,Alicia,Manhattan,Harlem,40.82772,-73.95284,Private room,81,5,442,2022-08-31,3.21,2,272,19,,10031
86,16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,40.72489,-73.9781,Private room,166,2,473,2022-08-14,4.29,2,134,47,,10009
87,59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 4",186084,Ricardo & Ashlie,Manhattan,Chinatown,40.7178,-73.9932,Entire home/apt,300,7,53,2022-09-01,0.38,2,42,23,,10002
89,60164,"Beautiful, elegant 3 bed SOHO loft",289653,Harrison,Manhattan,Tribeca,40.72012,-74.00397,Entire home/apt,500,30,109,2022-08-07,0.82,1,326,3,,10013
93,107895,Riverside Charm with Fire Place,3088389,Kai,Manhattan,Upper West Side,40.78073,-73.98564,Entire home/apt,166,90,63,2022-05-15,0.5,1,330,2,,10069
94,16821,Large WFH Room in Amazing E. Village Apt (Room A),4396,Casey,Manhattan,East Village,40.72281,-73.98501,Private room,218,1,162,2022-08-19,1.32,2,30,35,,10009
95,16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,300,5,254,2022-08-05,1.65,1,42,26,,10035
96,17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40.72289,-73.98028,Entire home/apt,220,30,53,2020-03-18,0.35,1,103,0,,10009
97,17693,"HARLEM, NYC,STILL WELCOMES YOU!! xx",68428,Tye And Etienne,Manhattan,Washington Heights,40.83253,-73.94108,Private room,75,2,63,2022-08-23,0.91,2,319,3,,10032
98,18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,40.76967,-73.94831,Private room,200,30,148,2019-09-01,1.11,1,365,0,,10162
99,60181,Sunny East Village Apartment with rooftop,128806,Sue,Manhattan,East Village,40.7253,-73.98028,Entire home/apt,195,31,38,2022-08-01,0.27,1,0,1,,10009
100,60457,Spacious Greenwich Village Apt,99212,Jessica,Manhattan,Greenwich Village,40.73072,-73.99275,Entire home/apt,250,30,10,2019-08-21,0.07,1,0,0,,10003
101,110576,Historic House of Music & Art NYC!,568103,Liah,Manhattan,Financial District,40.70104,-74.01168,Private room,140,45,53,2020-09-04,0.38,1,311,0,,10004
102,60611,SpaHa Studio Monthly Rental,292204,Blanca,Manhattan,East Harlem,40.79204,-73.94741,Entire home/apt,110,30,192,2022-08-31,1.39,3,86,1,,10029
103,60666,City Room - Private Luxury Suite,256161,Wayne,Manhattan,Harlem,40.81006,-73.94559,Private room,111,3,241,2022-08-09,1.69,2,38,22,,10027
104,18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.74261,-74.00353,Private room,175,4,221,2022-09-04,1.58,1,279,28,,10011
105,112304,Cozy Private Room in West Harlem!,573316,Kelli,Manhattan,Harlem,40.8069,-73.95372,Private room,90,30,1,2016-01-02,0.01,1,0,0,,10027
106,18961,Cozy Studio in Great Location!,70857,Fabian,Manhattan,Kips Bay,40.73808,-73.98001,Private room,95,30,1,2016-03-22,0.01,1,0,0,,10010
107,19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,40.82817,-73.95133,Entire home/apt,110,180,58,2020-09-01,0.39,1,333,0,,10031
108,60673,Private Room/bath Luxurious Harlem,249372,Cynthia,Manhattan,Harlem,40.81562,-73.94674,Private room,125,30,3,2019-10-20,0.06,1,0,0,,10030
109,60680,"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!",292630,Mich,Manhattan,East Village,40.72598,-73.97978,Entire home/apt,160,30,165,2022-08-03,1.15,2,328,2,,10009
111,60794,"Bright and spacious, garden below!",293394,Rachel,Manhattan,Upper West Side,40.79918,-73.96248,Entire home/apt,211,30,4,2017-08-25,0.03,1,0,0,,10025
115,61509,"Quiet, clean midtown apt w. elevato",23619,Anna/Fonzy,Manhattan,Midtown,40.75743,-73.96825,Entire home/apt,110,200,92,2019-04-30,0.65,1,0,0,,10022
116,62427,Great East Village Apartment Rental,303882,Brie,Manhattan,East Village,40.72825,-73.98959,Entire home/apt,130,30,62,2022-08-21,0.46,1,165,1,,10003
118,62891,Smallest House In The Village,306545,Olivia,Manhattan,East Village,40.72297,-73.98265,Entire home/apt,175,4,215,2022-08-22,1.51,2,243,9,,10009
121,21456,Light-filled classic Central Park,42032,Dana,Manhattan,Upper West Side,40.79936,-73.96155,Private room,88,30,85,2021-09-12,0.56,1,243,1,,10025
122,115535,Sun-Drenched Hamilton Hts Jewel,567187,Jane,Manhattan,Harlem,40.82402,-73.95263,Private room,65,30,34,2019-10-30,0.25,1,239,0,,10031
123,116551,Beautiful Harlem Studio Apartment - private access,497672,Cynthia And  Charlie,Manhattan,Harlem,40.80384,-73.95123,Entire home/apt,70,30,173,2022-07-01,1.26,1,45,2,,10026
124,21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,40.82782,-73.9473,Private room,99,30,3,2019-10-21,0.06,1,0,0,,10031
125,21794,COZY QUIET monthly room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,40.74187,-74.00223,Private room,85,30,36,2020-01-19,0.24,2,282,0,,10011
129,63693,Cottage in the Village,306545,Olivia,Manhattan,East Village,40.72219,-73.98245,Entire home/apt,390,7,153,2020-01-03,1.08,2,159,0,,10009
131,23686,West Village outdoor living private townhouse,93790,Ann,Manhattan,West Village,40.72961,-74.00308,Entire home/apt,600,5,55,2022-07-24,0.45,2,23,3,,10014
