,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,ZipCodes
2,45910,Beautiful Queens Brownstone! - 5BR,204539,Mark,Queens,Ridgewood,40.70309,-73.89963,Entire home/apt,425,30,13,2019-11-12,0.1,6,365,0,,
26,52689,Sunny 2BR near subway & shops,244071,Litza,Queens,Ditmars Steinway,40.77868,-73.90652,Entire home/apt,140,4,38,2022-09-05,0.27,1,173,30,,
27,53469,cozy studio with parking spot,204539,Mark,Queens,Middle Village,40.71567,-73.87842,Entire home/apt,130,30,33,2015-05-09,0.23,6,365,0,,
28,53470,Clean and convenient 2BR apartment,204539,Mark,Queens,Ridgewood,40.70422,-73.89778,Entire home/apt,193,30,6,2015-10-08,0.05,6,365,0,,
29,53477,3 floors of luxury!,204539,Mark,Queens,Middle Village,40.71778,-73.87714,Entire home/apt,350,30,16,2019-08-09,0.12,6,365,0,,
41,54694,(H) Great Deal/Pvt Rm,27848,Jullett,Queens,Jamaica,40.67144,-73.76501,Private room,65,30,62,2018-01-01,0.43,4,0,0,,
54,12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,40.74757,-73.94571,Private room,145,3,335,2022-08-26,2.25,1,86,37,,
66,57166,Elegant NYC Pad,272006,Vasili,Queens,Ditmars Steinway,40.772472,-73.906075,Entire home/apt,149,3,104,2022-08-28,0.72,1,302,40,,
79,105469,surf/stay regular,547386,Michelle,Queens,Rockaway Beach,40.58603,-73.8145,Private room,114,2,17,2021-09-17,0.12,1,90,1,,
82,59121,Convenient 3BR w/6 beds!!,204539,Mark,Queens,Ridgewood,40.70271,-73.8993,Entire home/apt,211,30,2,2019-11-01,0.02,6,361,0,,
159,132516,Forest Hills 1 BR / 20 mins to city / ⭐️⭐️⭐️⭐️⭐️ BED,85330,Jean,Queens,Forest Hills,40.7106,-73.85246,Entire home/apt,123,5,69,2022-08-30,1.12,3,212,22,,
195,68253,Room in the heart of Astoria,67730,Boris,Queens,Astoria,40.76336,-73.92099,Private room,55,30,0,,,1,0,0,,
198,39593,"A Lovely, Private Room w/ a Manhattan View",110506,Myung,Queens,Sunnyside,40.74523,-73.92318,Private room,78,30,29,2019-12-22,0.2,1,183,0,,
221,151199,Clean Astoria-Private Home NYC,722320,Gladys,Queens,Astoria,40.75684,-73.91286,Entire home/apt,151,2,507,2022-08-29,3.79,1,252,38,,
234,74680,One Bedroom Mini studio - Free WIFI,265109,Nazleen,Queens,Astoria,40.77507,-73.93367,Entire home/apt,119,7,237,2022-07-27,1.73,1,301,12,,
269,247562,ROOM WHITH PRÍVATE BATHROOM,1234135,Santiago,Queens,Richmond Hill,40.7012,-73.83151,Private room,66,3,42,2022-08-23,0.32,3,348,16,,
335,198028,#7 train at your door/ next stop MIDTOWN,965976,Jaymes,Queens,Ditmars Steinway,40.77728,-73.91278,Shared room,50,75,16,2013-10-01,0.12,1,242,0,,
358,296361,Nice Private Room Beauty in Queens,1528912,Weiwei,Queens,Elmhurst,40.73849,-73.87232,Private room,59,30,63,2019-05-18,0.58,2,0,0,,
398,209310,"Subway, City Views, Elevator, Large Private Room",1031148,Iulia,Queens,Sunnyside,40.73877,-73.92557,Private room,59,7,287,2022-03-12,2.25,1,195,2,,
400,267435,Large Sunny Bedroom in QNS NYC,1402454,Jocelin,Queens,Rego Park,40.73333,-73.85933,Private room,55,1,25,2020-02-16,0.3,1,0,0,,
401,311356,Charming Ridgewood Soulful  Walk-Up,142147,Richard,Queens,Ridgewood,40.70167,-73.90927,Private room,97,30,111,2022-07-31,0.86,1,363,1,,
412,319646,Bright and Cosy 2 Bedroom apt,1209728,Ashraf,Queens,Bayside,40.75537,-73.77159,Entire home/apt,150,3,17,2022-08-22,1.68,1,298,17,,
415,269404,"Master Bedroom Avaliable, Astoria",1411399,Carlos,Queens,Astoria,40.76716,-73.91177,Private room,119,30,19,2014-10-22,0.15,4,333,0,,
421,269889,One stop from Midtown Manhattan!,1413098,Min,Queens,Long Island City,40.74536,-73.94903,Private room,95,3,310,2022-08-28,2.43,1,2,35,,
427,270231,Cozy New York  City private room,1366310,Janina,Queens,Woodside,40.74496,-73.91167,Private room,95,30,285,2019-12-16,2.19,2,333,0,,
444,274329,Fantastic 1-bedroom basement apt.,1434654,Andrew,Queens,Ridgewood,40.70749,-73.916,Entire home/apt,68,30,138,2021-08-31,1.32,1,187,0,,
462,231154,(D) BIG DEAL,27848,Jullett,Queens,Jamaica,40.67144,-73.76501,Private room,75,30,31,2018-10-14,0.23,4,0,0,,
469,278145,Large Room in a Huge NY apartment.,1452026,Heidi,Queens,Astoria,40.77128,-73.91939,Private room,45,30,3,2017-06-20,0.02,1,0,0,,
475,234870,Private Room With GREAT Location,1229984,John,Queens,Long Island City,40.74499,-73.95372,Private room,50,30,65,2017-07-31,0.51,3,0,0,,
476,235515,Welcoming Small Comfortable Room!,1234135,Santiago,Queens,Richmond Hill,40.70148,-73.82972,Private room,56,3,76,2022-08-06,0.57,3,351,10,,
492,239733,Astoria Garden Suite,1256874,Nancy,Queens,Ditmars Steinway,40.77539,-73.91709,Entire home/apt,75,30,55,2022-05-31,0.42,1,311,2,,
497,389482,Quaint & Quiet in Queens,1947974,Constance F.,Queens,Briarwood,40.71215,-73.81692,Private room,75,30,58,2017-01-07,0.47,2,365,0,,
500,394111,"Beautiful Bedrooms in Briarwood, NY",1947974,Constance F.,Queens,Briarwood,40.71044,-73.81703,Private room,75,30,16,2017-01-01,0.13,2,365,0,,
518,363016,2 bdrm  Entire Furnished Apt.  (R),1834769,Debbie,Queens,Maspeth,40.72678,-73.90448,Entire home/apt,134,30,3,2017-10-01,0.02,2,0,0,,
523,405025,LUXE Apt & Garden (Sanitized),2018042,Megan,Queens,Long Island City,40.75434,-73.9354,Entire home/apt,213,3,101,2020-09-21,1.0,1,244,0,,
551,479285,Rent in beautiful Sunnyside Gardens,2374190,J-,Queens,Sunnyside,40.74709,-73.92056,Entire home/apt,125,3,3,2022-06-13,0.03,2,352,2,,
571,432090,Only 5 Min. to Manhattan!,2148881,Grace,Queens,Long Island City,40.7464,-73.94807,Private room,50,30,69,2016-09-28,0.55,1,0,0,,
584,492810,The Tudor Apartment - 2 Bedroom,2435523,Amy,Queens,Bayside,40.76763,-73.77003,Entire home/apt,125,30,8,2022-08-01,0.12,1,75,1,,
590,495249,10min Walk & 15mins to Tourist Spot,2446219,Biren,Queens,Jackson Heights,40.75347,-73.89145,Private room,111,1,234,2019-11-18,1.92,2,0,0,,
596,442636,"Private,Affordable, 20 min to NYC!",1655939,Joris,Queens,Ridgewood,40.699,-73.90295,Entire home/apt,79,30,330,2022-08-01,2.62,1,184,4,,
615,448048,"1 BR, Book it 1st then write me",1267021,Sharma,Queens,Jackson Heights,40.75243,-73.87843,Private room,99,30,32,2019-09-23,0.27,3,180,0,,
616,448049,"No Inq,Read it, 1 BR, Rt of Subway,",1267021,Sharma,Queens,Jackson Heights,40.74944,-73.89292,Private room,99,30,56,2022-08-06,0.45,3,365,1,,
626,582372,Comfy New York City Launching Pad!! Astoria NYC,733370,Tim,Queens,Astoria,40.77266,-73.92268,Private room,69,365,23,2016-07-01,0.19,1,98,0,,
654,592853,A GEM IN THE CITY,2926593,Valerie,Queens,Ridgewood,40.69941,-73.90576,Entire home/apt,75,2,17,2017-01-01,0.14,1,0,0,,
678,517654,Beautiful apt 10 min to Wbrg!,78742,Joni,Queens,Ridgewood,40.70499,-73.90128,Entire home/apt,70,30,3,2015-08-15,0.02,1,0,0,,
679,519310,YOU ROOM IN NYC,1366310,Janina,Queens,Sunnyside,40.74506,-73.91251,Private room,85,30,262,2020-03-11,2.1,2,311,0,,
683,467634,yahmanscrashpads,2321321,Lloyd,Queens,Jamaica,40.67595,-73.76463,Shared room,39,30,480,2020-12-11,3.85,1,249,0,,
709,645693,50% Discount Beautiful Room / Next to Subway,3233986,Daniel,Queens,Astoria,40.75702,-73.91682,Private room,109,30,122,2022-07-01,1.0,2,331,3,,
737,538590,Cozy bedroom 10min to MIDTOWN,2645592,De & Claudia,Queens,Astoria,40.75912,-73.919,Private room,130,30,74,2019-05-15,0.6,1,365,0,,
741,543792,Studio Apartment Bushwick/Ridgewood,865264,Sharon And Tom,Queens,Ridgewood,40.70873,-73.91732,Entire home/apt,125,7,136,2022-08-25,1.1,1,107,13,,
753,546383,My Little Guest Room in Flushing,2680820,Linda,Queens,Flushing,40.75485,-73.81795,Private room,70,2,570,2022-08-23,4.59,3,323,40,,
770,658932,Cozy room on a tree lined street,3323929,Erika,Queens,Ridgewood,40.69958,-73.90251,Private room,74,30,31,2019-11-16,0.27,1,331,0,,
776,637504,Private bedroom in a 2-fam house for solo traveler,3179968,Tony,Queens,Long Island City,40.73589,-73.92457,Private room,45,30,2,2019-07-02,0.04,1,0,0,,
785,740754,Cozy and nice room! Near Manhattan!!,3876092,Paulo,Queens,Astoria,40.76797,-73.91625,Private room,95,5,72,2021-07-27,0.6,2,80,0,,
793,795641,Weekend NY getaway? Holiday stay?,3472148,Brian,Queens,Ditmars Steinway,40.77559,-73.9072,Private room,60,1,0,,,1,0,0,,
829,752366,"Big, close to subway, 3 stops from the city",3956850,Dana,Queens,Astoria,40.75598,-73.91651,Entire home/apt,89,30,17,2019-03-15,0.18,1,0,0,,
832,683743,Low Cost Room With GREAT Location,1229984,John,Queens,Long Island City,40.74411,-73.9527,Private room,65,20,28,2017-05-20,0.23,3,159,0,,
839,689329,Cozy 15 mins Manhattan& 10 Mins LGA,2446219,Biren,Queens,East Elmhurst,40.75804,-73.89447,Private room,85,30,309,2019-11-17,2.71,2,0,0,,
843,808618,Spacious & Sunny in Scenic Kw Gdns,4254417,Renee,Queens,Kew Gardens,40.70889,-73.82902,Private room,64,3,21,2022-04-30,0.27,1,361,4,,
856,754353,Location Moreno,3250450,Petya,Queens,Long Island City,40.7588,-73.92815,Private room,43,30,13,2015-12-13,0.11,18,342,0,,
865,761606,"Great location, cozy and quiet.",1292205,Pasha,Queens,Astoria,40.76252,-73.91735,Entire home/apt,133,5,35,2022-07-15,0.3,1,323,12,,
867,761835,Apto 2 bed $80 night per person,4015459,Joao Lucas,Queens,Astoria,40.76592,-73.92707,Private room,80,2,99,2022-09-05,0.83,1,49,18,,
889,765563,Big Comfy Beds & Breakfast on the Deck,4036685,Norman,Queens,Bayside,40.7565,-73.7616,Entire home/apt,313,30,79,2022-08-14,0.72,1,365,3,,
895,704838,An Oasis in  the Big Apple 1,3621183,Paul,Queens,Woodside,40.74836,-73.89686,Entire home/apt,95,30,90,2022-09-05,1.18,3,276,4,,
896,818337,"Cozy Room Minutes From NYC! WiFi, A/C Included!",4241953,Celeste,Queens,Flushing,40.75857,-73.81008,Private room,57,30,27,2022-03-09,0.23,4,256,1,,
900,766964,"Sublet Lovely Room in Astoria, 3-4 months",4044889,Jenna,Queens,Astoria,40.76831,-73.92352,Private room,70,80,3,2012-11-10,0.03,1,0,0,,
918,714028,An Oasis in the Big Apple 2,3621183,Paul,Queens,Woodside,40.7484,-73.89892,Entire home/apt,95,30,70,2022-08-24,0.97,3,259,3,,
919,714049,An Oasis in the Big Apple 3,3621183,Paul,Queens,Woodside,40.74874,-73.89746,Entire home/apt,95,30,70,2022-09-03,0.58,3,225,2,,
927,774791,Very clean bed room in queens NYC,1528912,Weiwei,Queens,Flushing,40.75493,-73.8236,Private room,59,30,31,2018-06-28,0.32,2,341,0,,
968,848722,"Comfy Room Minutes From NYC! WiFi, A/C Included!",4241953,Celeste,Queens,Flushing,40.76064,-73.80948,Private room,64,30,44,2019-12-17,0.39,4,323,0,,
979,836720,Best view in Queens,4372934,Manuel Alberto,Queens,College Point,40.78365,-73.8381,Entire home/apt,379,2,65,2022-09-06,0.56,1,250,16,,
1008,843491,Spacious Room Near NYC! WiFi A/C & No Cleaning fee,4241953,Celeste,Queens,Flushing,40.75869,-73.80992,Private room,80,30,12,2021-10-20,0.14,4,229,2,,
1030,1046443,"Beautiful & spacious apartment in Astoria, Queens",5760970,Chris,Queens,Ditmars Steinway,40.7698,-73.90441,Private room,150,1,21,2021-09-23,0.34,2,331,1,,
1043,951365,Bushwick/Ridgewood studio garden aptmt w parking,2675998,Alice,Queens,Ridgewood,40.70875,-73.91654,Entire home/apt,120,3,116,2022-09-02,1.0,1,262,15,,
1075,1076324,2BR Sunny/Comfort Apt - 15 min from MIDTOWN,3864301,Sen,Queens,Sunnyside,40.74405,-73.91594,Entire home/apt,169,30,9,2016-08-20,0.08,3,365,0,,
1084,973535,"Garden Apt, 5 mins from LaGuardia",3179866,Gonzalo And Nora,Queens,East Elmhurst,40.76514,-73.88991,Entire home/apt,109,30,175,2022-08-15,1.53,3,329,4,,
1094,886808,"Free Metrocard*, Safe & Affordable",4701443,Christina,Queens,Flushing,40.75087,-73.80999,Private room,62,1,153,2022-09-05,1.32,2,222,14,,
1095,886833,"Private Suite, Free Metrocard*",4701443,Christina,Queens,Flushing,40.75046,-73.80969,Private room,82,2,359,2022-09-01,3.12,2,126,7,,
1104,890794,Cozy- bedroom in Jackson Heights!,4731046,Luis,Queens,Jackson Heights,40.75218,-73.89253,Private room,120,180,0,,,1,218,0,,
1107,978386,"A gem garden nook on Broadway & 42ST in Queens, NY",5354308,Yiota,Queens,Astoria,40.75725,-73.91811,Entire home/apt,85,30,308,2022-05-10,2.7,1,38,3,,
1114,978615,NICE ROOM IN ASTORIA NEAR MANHATTAN,5369117,Rosa,Queens,Astoria,40.76494,-73.92066,Private room,82,30,197,2020-02-20,1.74,2,335,0,,
1121,894093,Cozy private room & 2blocks from subway&10mintoNYC,4644172,Sheena,Queens,Astoria,40.76869,-73.9201,Private room,69,30,73,2019-08-06,0.69,1,83,0,,
1136,987329,ROOM NEAR TIMES SQUARE MANHATTAN,5369117,Rosa,Queens,Astoria,40.76423,-73.91891,Private room,95,30,83,2020-12-09,1.02,2,365,0,,
