id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
69824,2 bd/2ba Oceanfront Condo,351303,Tracy,,Hallandale Beach,25.97641,-80.12052,Entire home/apt,130,30,2,2021-03-27,0.04,2,218,0,
83449,MARY POP APTS 2/1 APT SLEEP 5,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,99,7,20,2020-01-26,0.15,8,39,0,
1865860,Comfy Studio in Quiet Neighborhood,2692728,Vera,,Oakland Park,26.17391,-80.1509,Entire home/apt,93,3,479,2022-05-23,4.57,3,85,28,
105411,House in the Ranches,532930,Sonia,,Southwest Ranches,26.04678,-80.36809,Entire home/apt,235,4,5,2018-03-28,0.04,1,352,0,
1876292,3 bdrm 2 bath pool home near beach,9774075,Joe,,Deerfield Beach,26.30344,-80.08797,Entire home/apt,250,2,15,2022-03-26,0.15,1,90,4,
1901619,Waterfront home / pool near Miami,9873790,Suncove Villa,,Pompano Beach,26.218,-80.10078,Entire home/apt,249,7,48,2022-06-05,0.54,1,235,11,
129061,MIAMI - LUXURY APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99332,-80.11887,Entire home/apt,233,28,21,2022-03-27,0.16,6,364,3,
1909627,W Residences 2 BR Apartment Ft. Lauderdale Beach!,1118365,Allen,,Fort Lauderdale,26.12802,-80.1039,Entire home/apt,470,2,42,2022-05-02,0.44,1,351,6,
1911406,The Cracker Shack Tiny House Fort Lauderdale,171749,Rob,,Fort Lauderdale,26.13293,-80.13682,Entire home/apt,167,30,18,2020-10-02,0.17,1,364,0,
129099,MIAMI - AMAZING APARTMENT OCEANVIEW,637272,Bianca,,Hollywood,25.99416,-80.11969,Entire home/apt,225,28,26,2021-12-31,0.20,6,352,1,
1963560,Casitas Coral Ridge,6411242,Gary,,Fort Lauderdale,26.16862,-80.11358,Private room,164,1,7,2018-04-22,0.07,23,0,0,
191160,Tropical Beach Paradise Awaits You,924482,Dan,,Deerfield Beach,26.30707,-80.07793,Entire home/apt,119,2,25,2019-11-08,0.20,1,0,0,
1965226,5 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02607,-80.11466,Entire home/apt,153,3,106,2022-05-30,1.03,5,302,22,
1970524,"3 BED.2 BATH , PRIVATE POOL+PRIVACY",10175122,Francois,,Hollywood,26.03117,-80.21664,Entire home/apt,240,4,44,2021-09-20,0.43,1,139,6,
1987335,Piso 5U- Amazing and Unique Apartment on the Beach,8790381,Natalia,,Hollywood,25.98869,-80.11806,Entire home/apt,145,4,40,2022-04-22,0.46,11,135,10,
1989116,2 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.02587,-80.11573,Entire home/apt,139,3,75,2022-05-31,0.73,5,322,14,
2011721,3 - Beach Bungalow w/ Free Parking,9946914,Nick,,Hollywood,26.0259,-80.11646,Entire home/apt,126,3,114,2022-05-29,1.10,5,348,16,
216046,Dual Masters! - Adult Media/Game Rm - 1GB Internet,964836,Gary,,Hollywood,26.00746,-80.19631,Entire home/apt,320,2,79,2022-03-18,0.62,1,200,15,
2022083,BIMINI – Very Confy & Spacious,10384873,Giuliana & Eric,,Fort Lauderdale,26.09971,-80.15277,Private room,65,30,14,2022-04-23,0.14,5,289,1,
2022117,Furnished Room # 3 share bathroom,10392690,Pochita,,Pembroke Pines,26.02633,-80.23914,Private room,53,3,42,2022-05-23,0.41,3,330,7,
2023131,CAICOS - Best location!! Everything included,10384873,Giuliana & Eric,,Fort Lauderdale,26.09855,-80.15301,Private room,40,30,17,2022-05-28,0.17,5,266,1,
